Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo      Confidence
88   OpenCode Go                         USD 10       GLM 5.2                       0.2007              0.04983   60 (6×)          medium
89   OpenCode Go                         USD 10       GLM 5.1                       0.2007              0.04983   60 (6×)          medium
90   Ollama Pro                          USD 20       GLM 5.3                       0.2007              0.09965   60 (3×)          medium
91   Ollama Pro                          USD 20       GLM 5.2                       0.2007              0.09965   60 (3×)          medium
92   Alibaba Cloud CN Coding Plan Pro    CNY 200      Qwen3.7 Plus                  0.198               0.14901   18 (0.62×)       medium
93   Command Code GOAT                   USD 10       Gemini 3.8 Flash              0.1954              0.05118   20 (2×)          medium
94   Command Code GOAT                   USD 10       Gemini 3.7 Flash              0.1954              0.05118   20 (2×)          medium
95   Command Code GOAT                   USD 10       Inkling Small                 0.1779              0.05621   -                medium
96   SuperGrok Lite                      USD 10       Grok 4.6                      0.15                0.06667   83 (8.27×)       low
97   Ollama Pro                          USD 20       Kimi K3                       0.1465              0.13652   60 (3×)          medium
98   Command Code GOAT                   USD 10       Nemotron 3 Ultra              0.1446              0.06916   17 (1.68×)*      medium
99   Command Code GOAT                   USD 10       Muse Spark 1.3                0.1064              0.09398   -                medium
100  Command Code GOAT                   USD 10       Muse Spark 1.2                0.1064              0.09398   20 (2×)*         medium
101  Command Code GOAT                   USD 10       GPT 5.6 Sol                   0.1                 0.1       55 (5.46×)       medium
102  Command Code GOAT                   USD 10       Inkling                       0.0993              0.1007    -                medium
103  Kimi CN CNY 49 †                    CNY 49       Kimi K2.7 Code                0.078               0.09267   17 (2.37×)       medium
104  Command Code GOAT                   USD 10       GLM 5.3                       0.0669              0.14948   20 (2×)          medium
105  Command Code GOAT                   USD 10       Qwen3.8 Max                   0.065               0.15385   17 (1.68×)       medium
106  Command Code GOAT                   USD 10       Qwen3.8 Max 0902              0.065               0.15385   17 (1.68×)       medium
107  Command Code GOAT                   USD 10       Qwen3.7 Max                   0.0581              0.17212   19 (1.88×)       medium
108  OpenCode Go                         USD 10       Qwen3.7 Max                   0.0529              0.18904   17 (1.71×)       medium
109  OpenCode Go                         USD 10       GLM 5.3                       0.0502              0.1992    15 (1.5×)        medium
110  Command Code GOAT                   USD 10       Kimi K3                       0.0488              0.20492   20 (2×)          medium
111  OpenCode Go                         USD 10       Qwen3.8 Max                   0.0487              0.20534   13 (1.26×)       medium
112  Command Code GOAT                   USD 10       Kimi K2.7 Code HighSpeed      0.0455              0.21978   -                medium
113  OpenCode Go                         USD 10       Kimi K3                       0.0366              0.27322   15 (1.5×)        medium
114  Command Code GOAT                   USD 10       Grok 4.5                      0.0363              0.27548   13 (1.29×)       medium
115  Command Code GOAT                   USD 10       Grok 4.6                      0.0363              0.27548   20 (2×)          medium
116  Command Code GOAT                   USD 10       GLM 5.2 Fast                  0.034               0.29412   -                medium
117  OpenCode Go                         USD 10       Grok 4.6                      0.0272              0.36765   15 (1.5×)        medium
